Abstract ID,Type,Category,Title,Country,Presenting,Status
20250055,oral presentation,Physics,Daily CBCT-based Dose Accumulation and Analysis in Hypo-fractionated Prostate Radiotherapy,China,Gao Yan ,Reviewed
20250056,Any presentation,GU,Dosimetric Impact on Hematologic Toxicity in Prostate Cancer Patients Receiving Radiation Therapy,India,Shreya Shivakumar Kaundinya ,Submitted
20250057,oral presentation,"Upper GI (i.e., esophagus and stomach)",Consolidative camrelizumab following definitive chemoradiotherapy in esophageal carcinoma,China,Jun Wang ,Reviewed
20250058,Any presentation,Radiobiology,Molecular Mechanism of Amelioration of Ionising Radiation-Induced Intestinal Injury by Lycopene,China,Xu Rongli ,Submitted
20250060,digital poster,Hepatobiliary,Nodal Irradiation in Pancreatic Cancer: A Systematic Review and Meta-Analysis,Philippines,"Vannesza Hendricke C. Chua, MD ",Submitted
20250062,oral presentation,Gynecologic malignancy,Reappraise the significance of different levels of disease extension in LACC patients,China,Xi-Lin Yang ,Submitted
20250063,oral presentation,Gynecologic malignancy,Unveiling the role of uterus involvement in locally advanced cervical adenocarcinoma patients,China,Jun-Fang Yan ,Reviewed
20250064,digital poster,Breast,HEART AND LUNG PLAN DOSES EVALUATION IN DIBH AND FREE BREATHING OF LEFT BREAST RADIOTHERAPY,Malaysia,NUR ALYA EZZATIN BINTI EHSANI ZAMAKHSHARI ,Submitted
20250065,Any presentation,Gynecologic malignancy,Clinical Outcomes of CT-Guided Brachytherapy for Cervical Cancer (2019-2020),Thailand,Ekkasit Tharavichitkul ,Submitted
20250066,digital poster,Health economics,Emergency room utilization after definitive radiotherapy in adults with solid malignancies,Korea South,Sunmin Park ,Submitted
20250067,Any presentation,Lower GI,Long course chemoradiotherapy with or without abbreviated neoadjuvant chemotherapy in rectal cancer,India,Rastogi Madhup ,Submitted
20250068,oral presentation,Gynecologic malignancy,Clinical outcome of locally advanced cervical cancer treated with image guided brachytherapy,India,DR AJEET KUMAR GANDHI ,Submitted
20250069,digital poster,Lung (including other thoracic tumors),Using Large Language Models to Analyze and Interpret Lung Cancer EHRs for Clinical Decision Support.,Korea South,Young Taek Oh ,Submitted
20250070,oral presentation,Head and Neck,Evaluation of Neoadjuvant Chemotherapy followed by Chemoradiation in inoperable oral cavity tumour,India,Dr. Meghal Prajapati ,Submitted
20250071,digital poster,Physics,Optimizing Cervical Cancer Brachytherapy: Conscious Sedation in Low-Resource Settings,India,Hardik Sharma ,Submitted
20250073,oral presentation,Lower GI,IORT  in the clinical application of locally advanced colorectal tumors,China,MING ZHUANG ,Submitted
20250074,oral presentation,Head and Neck,Low dose fractionated radiotherapy  for High-Risk nasopharyngeal cancer: Randomized Phase 2 Trial,China,Ming Fan ,Submitted
20250075,digital poster,Breast,"A novel ADME gene signature for predicting prognosis in early-stage, HR-positive breast cancer",China,Mengqi Yang ,Submitted
20250076,Any presentation,Head and Neck,A PILOT STUDY ON HYPOFRACTIONATED RADIATION THERAPY IN ELDERLY PATIENTS WITH HEAD AND NECK CARCINOMA,India,GAUTAM VEDAGIRI VYTIAM ,Submitted
20250077,digital poster,Central nervous system,RADIATION THERAPY FOR BIFOCAL GERMINOMA,Indonesia,nova ,Submitted
20250079,digital poster,Central nervous system,CDK1 Depletion Suppresses Glioma Malignancy through Cell Cycle Pathway,China,Yu Wang ,Submitted
20250080,digital poster,Lung (including other thoracic tumors),Predicting Severe Radiation Esophagitis in Lung Cancer Under Moderate Hypofractionation,China,Qiang Lin ,Submitted
20250081,Any presentation,Central nervous system,Retrospective Analysis of Concurrent or Sequential TTFields Combined with Radiochemotherapy in HGG,China,Mengqi Sun ,Submitted
20250082,Any presentation,Pediatric,Survival and Quality of Life in Pediatric Intracranial Ependymoma Undergoing Adjuvant Radiotherapy,China,Yinyin Yang  ,Submitted
20250083,oral presentation,Central nervous system,MR-Linac-Guided Radiotherapy in HGG: Retrospective Study of Outcomes with Concurrent TTFields,China,Mengqi Sun ,Submitted
20250084,Any presentation,Other,The combination of hypofraction radiotherapy with nanoparticle SPRCUR-ABD-TRAIL in Colorectal cancer,China,Cheng Yi ,Submitted
20250085,Any presentation,"Upper GI (i.e., esophagus and stomach)",Pretreatment indicators as prognostic factors for patients with advanced esophageal cancer,China,Tang Shaotong ,Submitted
20250086,digital poster,Head and Neck,Machine Learning - Powered Audio - omics Processing Method for Screening Advanced NPC,China,Liuyun Gong ,Submitted
20250087,oral presentation,Central nervous system,The efficacy of surgery combined with IORT and the comparative analysis,China,Haonan Ran ,Submitted
20250088,Any presentation,Central nervous system,SRT Alone for Brain Metastases After Intracranial Progression of EGFR-TKIs: A Multi-Center Study,China,Yuchao Ma ,Submitted
20250089,digital poster,Lung (including other thoracic tumors),Predicting Severe Radiation Esophagitis in Lung Cancer Under Moderate Hypofractionation,China,Qiang Lin ,Submitted
20250090,oral presentation,Breast,Dosimetric benefits and feasibility of a novel lateral decubitus position PORT in left breast cancer,China,Yingying Zhou ,Submitted
20250091,Any presentation,Nurse care,Muscle Mass Loss and Survival in Esophageal Cancer During Neoadjuvant Chemoradiotherapy,China,Guiyu Huang ,Submitted
20250092,Any presentation,Breast,RHBDF2 promotes  radiotherapy resistance of triple-negative breast cancer by up-regulating ARPC1B,China,Jing Feng ,Submitted
20250093,Any presentation,Lower GI,Clinical Justification for Adaptive SBRT in Liver Cancer,China,LiuYaxin ,Submitted
20250094,Any presentation,Lung (including other thoracic tumors),Role of CT in the evaluation of lung carcinoma and its correlation with histopathological findings,India,THAMIZHOLI SELVARAJU ,Submitted
20250095,Any presentation,Physics,PEG-Modified ZnO Nanocomposites Enable Proton-Induced Radiodynamic Therapy: Mechanistic Insights,China,Guoqiang Zhao ,Submitted
20250096,oral presentation,Physics,Deep learning and Monte Carlo based linear energy transfer calculation for proton capture therapy,China,Wu Junxiang ,Submitted
20250097,oral presentation,Physics,Dosimetric impact of contrast-enhanced CT for SBRT of lung cancer treated with MR-Linac,China,Guoqiang Zhao ,Submitted
20250098,Any presentation,Lung (including other thoracic tumors),Recurrence patterns after carbon-ion radiotherapy for early-stage NSCLC,Japan,Nobuteru Kubo ,Submitted
